Producto,Precio,Supermercado,Categoria,IMG,Pagina
0,0,0,0,0,0
PERA VERDE IMPORTADA 1000 G,$ 9.990,D1,Vegetales y frutas,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000567.png,https://domicilios.tiendasd1.com/p/pera-verde-importada-1000-g-12000567
MANZANA ROYAL GALA 1000 GRS,$ 9.750,D1,Vegetales y frutas,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000109.png,https://domicilios.tiendasd1.com/p/manzana-royal-gala-1000-grs-12000109
CEBOLLA LARGA 500 GR,$ 2.690,D1,Vegetales y frutas,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003363.png,https://domicilios.tiendasd1.com/p/cebolla-larga-500-gr-12003363
PIMENTÓN X 500 G,$ 1.890,D1,Vegetales y frutas,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003371.png,https://domicilios.tiendasd1.com/p/pimenton-x-500-g-12003371
AGUACATE HASS 500 G,$ 2.690,D1,Vegetales y frutas,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12002004.png,https://domicilios.tiendasd1.com/p/aguacate-hass-500-g-12002004
PLÁTANO HARTÓN 1000 G,$ 4.390,D1,Vegetales y frutas,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000110.png,https://domicilios.tiendasd1.com/p/platano-harton-1000-g-12000110
AJO MALLA 3 UNIDADES - 100 G,$ 1.350,D1,Vegetales y frutas,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12002709.png,https://domicilios.tiendasd1.com/p/ajo-malla-3-unidades-100-g-12002709
NARANJA MALLA 1500 G,$ 3.890,D1,Vegetales y frutas,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12002710.png,https://domicilios.tiendasd1.com/p/naranja-malla-1500-g-12002710
PAPA CAPIRA 2000 GRS,$ 5.390,D1,Vegetales y frutas,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000038.png,https://domicilios.tiendasd1.com/p/papa-capira-2000-grs-12000038
TOMATE CHONTO 500 G,$ 1.750,D1,Vegetales y frutas,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12001706.png,https://domicilios.tiendasd1.com/p/tomate-chonto-500-g-12001706
CEBOLLA CABEZONA 500 G,$ 2.290,D1,Vegetales y frutas,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12001707.png,https://domicilios.tiendasd1.com/p/cebolla-cabezona-500-g-12001707
LIMÓN TAHITÍ 500 G,$ 3.050,D1,Vegetales y frutas,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12002011.png,https://domicilios.tiendasd1.com/p/limon-tahiti-500-g-12002011
ARÁNDANOS 125 G,$ 4.990,D1,Vegetales y frutas,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12002590.png,https://domicilios.tiendasd1.com/p/arandanos-125-g-12002590
